Common Name,Scientific Name
Javan Myna,Acridotheres javanicus
Common Myna,Acridotheres tristis
Northern Cricket Frog,Acris crepitans
Southern Cricket Frog,Acris gryllus
Pink-legged Graveteiro,Acrobatornis fonsecai
Paddyfield Warbler,Acrocephalus agricola
Great Reed Warbler,Acrocephalus arundinaceus
Australian Reed Warbler,Acrocephalus australis
African Reed Warbler,Acrocephalus baeticatus
Black-browed Reed Warbler,Acrocephalus bistrigiceps
Blunt-winged Warbler,Acrocephalus concinens
Blyth's Reed Warbler,Acrocephalus dumetorum
Lesser Swamp Warbler,Acrocephalus gracilirostris
Basra Reed Warbler,Acrocephalus griseldis
Moustached Warbler,Acrocephalus melanopogon
Madagascar Swamp Warbler,Acrocephalus newtoni
Oriental Reed Warbler,Acrocephalus orientalis
Aquatic Warbler,Acrocephalus paludicola
Marsh Warbler,Acrocephalus palustris
Greater Swamp Warbler,Acrocephalus rufescens
Sedge Warbler,Acrocephalus schoenobaenus
Eurasian Reed Warbler,Acrocephalus scirpaceus
Clamorous Reed Warbler,Acrocephalus stentoreus
Manchurian Reed Warbler,Acrocephalus tangorum
Ocellated Tapaculo,Acropternis orthonyx
Rufous-collared Kingfisher,Actenoides concretus
Spotted Kingfisher,Actenoides lindsayi
Green-backed Kingfisher,Actenoides monachus
Blue-winged Minla,Actinodura cyanouroptera
Rusty-fronted Barwing,Actinodura egertoni
Hoary-throated Barwing,Actinodura nipalensis
Spectacled Barwing,Actinodura ramsayi
Chestnut-tailed Minla,Actinodura strigula
Streak-throated Barwing,Actinodura waldeni
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
African Jacana,Actophilornis africanus
Speckled Hummingbird,Adelomyia melanogenys
Clark's Grebe,Aechmophorus clarkii
Western Grebe,Aechmophorus occidentalis
Long-tailed Tit,Aegithalos caudatus
Black-throated Tit,Aegithalos concinnus
Silver-throated Tit,Aegithalos glaucogularis
Black-browed Tit,Aegithalos iouschistos
White-throated Tit,Aegithalos niveogularis
White-tailed Iora,Aegithina nigrolutea
Common Iora,Aegithina tiphia
Green Iora,Aegithina viridissima
Northern Saw-whet Owl,Aegolius acadicus
Boreal Owl,Aegolius funereus
Buff-fronted Owl,Aegolius harrisii
Unspotted Saw-whet Owl,Aegolius ridgwayi
Australian Owlet-nightjar,Aegotheles cristatus
Cinereous Vulture,Aegypius monachus
Mariana Swiftlet,Aerodramus bartschi
White-nest Swiftlet,Aerodramus fuciphagus
Black-nest Swiftlet,Aerodramus maximus
Andean Swift,Aeronautes andecolus
White-tipped Swift,Aeronautes montivagus
White-throated Swift,Aeronautes saxatalis
Least Auklet,Aethia pusilla
Whiskered Auklet,Aethia pygmaea
Fork-tailed Sunbird,Aethopyga christinae
Mrs. Gould's Sunbird,Aethopyga gouldiae
Fire-tailed Sunbird,Aethopyga ignicauda
Green-tailed Sunbird,Aethopyga nipalensis
Black-throated Sunbird,Aethopyga saturata
Crimson Sunbird,Aethopyga siparaja
Temminck's Sunbird,Aethopyga temminckii
Vigors's Sunbird,Aethopyga vigorsii
Gray-headed Lovebird,Agapornis canus
Fischer's Lovebird,Agapornis fischeri
Yellow-collared Lovebird,Agapornis personatus
Rosy-faced Lovebird,Agapornis roseicollis
Black-winged Lovebird,Agapornis taranta
Grayish Baywing,Agelaioides badius
Red-winged Blackbird,Agelaius phoeniceus
Tricolored Blackbird,Agelaius tricolor
Unicolored Blackbird,Agelasticus cyanopus
Yellow-winged Blackbird,Agelasticus thilius
Pale-eyed Blackbird,Agelasticus xanthophthalmus
Violet-tailed Sylph,Aglaiocercus coelestis
Long-tailed Sylph,Aglaiocercus kingii
Black-billed Shrike-Tyrant,Agriornis montanus
Chestnut-cheeked Starling,Agropsar philippensis
Daurian Starling,Agropsar sturninus
Green Catbird,Ailuroedus crassirostris
Spotted Catbird,Ailuroedus maculosus
Oaxaca Sparrow,Aimophila notosticta
Rusty Sparrow,Aimophila rufescens
Rufous-crowned Sparrow,Aimophila ruficeps
Mandarin Duck,Aix galericulata
Wood Duck,Aix sponsa
Goeldi's Antbird,Akletos goeldii
White-shouldered Antbird,Akletos melanoceps
Greater Hoopoe-Lark,Alaemon alaudipes
Eurasian Skylark,Alauda arvensis
Oriental Skylark,Alauda gulgula
Asian Short-toed Lark,Alaudala cheleensis
Turkestan Short-toed Lark,Alaudala heinei
Sand Lark,Alaudala raytal
Mediterranean Short-toed Lark,Alaudala rufescens
Somali Short-toed Lark,Alaudala somalica
Razorbill,Alca torda
Common Kingfisher,Alcedo atthis
Blue-eared Kingfisher,Alcedo meninting
Brown Fulvetta,Alcippe brunneicauda
Yunnan Fulvetta,Alcippe fratercula
Huet's Fulvetta,Alcippe hueti
Morrison's Fulvetta,Alcippe morrisonia
Nepal Fulvetta,Alcippe nipalensis
Mountain Fulvetta,Alcippe peracensis
Brown-cheeked Fulvetta,Alcippe poioicephala
Javan Fulvetta,Alcippe pyrrhoptera
Rufous-naped Bellbird,Aleadryas rufinucha
Barbary Partridge,Alectoris barbara
Chukar,Alectoris chukar
Rock Partridge,Alectoris graeca
Red-legged Partridge,Alectoris rufa
Australian Brushturkey,Alectura lathami
Fire-crested Alethe,Alethe castanea
White-tailed Alethe,Alethe diademata
Yellow-faced Parrot,Alipiopsitta xanthops
Australian King-Parrot,Alisterus scapularis
Scaly-breasted Thrasher,Allenia fusca
Allard's Ground Cricket,Allonemobius allardi
Tinkling Ground Cricket,Allonemobius tinnulus
Walker's Ground Cricket,Allonemobius walkeri
Finsch's Bulbul,Alophoixus finschii
White-throated Bulbul,Alophoixus flaveolus
Ochraceous Bulbul,Alophoixus ochraceus
Puff-throated Bulbul,Alophoixus pallidus
Yellow-bellied Bulbul,Alophoixus phaeocephalus
Gray-cheeked Bulbul,Alophoixus tephrogenys
Tawny-headed Swallow,Alopochelidon fucata
Egyptian Goose,Alopochen aegyptiaca
Mexican Black Howler Monkey,Alouatta pigra
Lesser Ground-Robin,Amalocichla incerta
Red Avadavat,Amandava amandava
Uniform Crake,Amaurolimnas concolor
Isabelline Bush-hen,Amaurornis isabellina
Pale-vented Bush-hen,Amaurornis moluccana
White-breasted Waterhen,Amaurornis phoenicurus
Blue Seedeater,Amaurospiza concolor
Blackish-blue Seedeater,Amaurospiza moesta
Honduran Emerald,Amazilia luciae
Cinnamon Hummingbird,Amazilia rutila
Rufous-tailed Hummingbird,Amazilia tzacatl
Buff-bellied Hummingbird,Amazilia yucatanensis
Amazilia Hummingbird,Amazilis amazilia
Turquoise-fronted Parrot,Amazona aestiva
Black-billed Parrot,Amazona agilis
White-fronted Parrot,Amazona albifrons
Orange-winged Parrot,Amazona amazonica
Yellow-naped Parrot,Amazona auropalliata
Red-lored Parrot,Amazona autumnalis
Red-tailed Parrot,Amazona brasiliensis
Blue-cheeked Parrot,Amazona dufresniana
Mealy Parrot,Amazona farinosa
Festive Parrot,Amazona festiva
Lilac-crowned Parrot,Amazona finschi
Kawall's Parrot,Amazona kawalli
Cuban Parrot,Amazona leucocephala
Scaly-naped Parrot,Amazona mercenarius
Yellow-crowned Parrot,Amazona ochrocephala
Yellow-headed Parrot,Amazona oratrix
Red-browed Parrot,Amazona rhodocorytha
Tucuman Parrot,Amazona tucumana
Hispaniolan Parrot,Amazona ventralis
Vinaceous-breasted Parrot,Amazona vinacea
Red-crowned Parrot,Amazona viridigenalis
Yellow-lored Parrot,Amazona xantholora
Brazilian Teal,Amazonetta brasiliensis
Yellow-billed Cacique,Amblycercus holosericeus
Clicker Round-winged Katydid,Amblycorypha alexanderi
Common Virtuoso Katydid,Amblycorypha longinicta
Oblong-winged Katydid,Amblycorypha oblongifolia
Rattler Round-winged Katydid,Amblycorypha rotundifolia
Golden Bowerbird,Amblyornis newtoniana
Grosbeak Weaver,Amblyospiza albifrons
Scarlet-headed Blackbird,Amblyramphus holosericeus
Yellow-browed Sparrow,Ammodramus aurifrons
Grassland Sparrow,Ammodramus humeralis
Grasshopper Sparrow,Ammodramus savannarum
Bar-tailed Lark,Ammomanes cinctura
Desert Lark,Ammomanes deserti
Rufous-tailed Lark,Ammomanes phoenicura
Gray-bellied Antbird,Ammonastes pelzelni
Saltmarsh Sparrow,Ammospiza caudacuta
LeConte's Sparrow,Ammospiza leconteii
Seaside Sparrow,Ammospiza maritima
Nelson's Sparrow,Ammospiza nelsoni
Scaled Fruiteater,Ampelioides tschudii
Red-crested Cotinga,Ampelion rubrocristatus
Chestnut-crested Cotinga,Ampelion rufaxilla
Gray-headed Antbird,Ampelornis griseiceps
Black-throated Sparrow,Amphispiza bilineata
Five-striped Sparrow,Amphispizopsis quinquestriata
White-browed Foliage-gleaner,Anabacerthia amaurotis
Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini
Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata
Montane Foliage-gleaner,Anabacerthia striaticollis
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
Dusky-cheeked Foliage-gleaner,Anabazenops dorsalis
White-collared Foliage-gleaner,Anabazenops fuscus
Ash-breasted Tit-Tyrant,Anairetes alpinus
Yellow-billed Tit-Tyrant,Anairetes flavirostris
Black-crested Tit-Tyrant,Anairetes nigrocristatus
Tufted Tit-Tyrant,Anairetes parulus
Pied-crested Tit-Tyrant,Anairetes reguloides
Northern Pintail,Anas acuta
Andean Teal,Anas andium
Chestnut Teal,Anas castanea
Green-winged Teal,Anas crecca
Mexican Duck,Anas diazi
Yellow-billed Teal,Anas flavirostris
Mottled Duck,Anas fulvigula
Yellow-billed Pintail,Anas georgica
Gray Teal,Anas gracilis
Mallard,Anas platyrhynchos
Indian Spot-billed Duck,Anas poecilorhyncha
American Black Duck,Anas rubripes
Pacific Black Duck,Anas superciliosa
Yellow-billed Duck,Anas undulata
Hawaiian Duck,Anas wyvilliana
Eastern Spot-billed Duck,Anas zonorhyncha
Asian Openbill,Anastomus oscitans
Say's Trig,Anaxipha exigua
American Toad,Anaxyrus americanus
Yosemite Toad,Anaxyrus canorus
Great Plains Toad,Anaxyrus cognatus
Fowler's Toad,Anaxyrus fowleri
Houston Toad,Anaxyrus houstonensis
Arizona Toad,Anaxyrus microscaphus
Oak Toad,Anaxyrus quercicus
Texas Toad,Anaxyrus speciosus
Southern Toad,Anaxyrus terrestris
Woodhouse's Toad,Anaxyrus woodhousii
Chestnut-winged Hookbill,Ancistrops strigilatus
Gray-breasted Mountain-Toucan,Andigena hypoglauca
Plate-billed Mountain-Toucan,Andigena laminirostris
Black-billed Mountain-Toucan,Andigena nigrirostris
Tooth-billed Hummingbird,Androdon aequatorialis
Sombre Greenbul,Andropadus importunus
Horned Screamer,Anhima cornuta
Anhinga,Anhinga anhinga
Oriental Darter,Anhinga melanogaster
Australasian Darter,Anhinga novaehollandiae
Scarlet-bellied Mountain Tanager,Anisognathus igniventris
Lacrimose Mountain Tanager,Anisognathus lacrymosus
Blue-winged Mountain Tanager,Anisognathus somptuosus
Hyacinth Macaw,Anodorhynchus hyacinthinus
Indigo Macaw,Anodorhynchus leari
Bushy-crested Hornbill,Anorrhinus galeritus
Blue-gray Noddy,Anous ceruleus
Black Noddy,Anous minutus
Brown Noddy,Anous stolidus
Lesser Noddy,Anous tenuirostris
Greater White-fronted Goose,Anser albifrons
Graylag Goose,Anser anser
Pink-footed Goose,Anser brachyrhynchus
Snow Goose,Anser caerulescens
Emperor Goose,Anser canagicus
Swan Goose,Anser cygnoides
Lesser White-fronted Goose,Anser erythropus
Taiga Bean-Goose,Anser fabalis
Bar-headed Goose,Anser indicus
Ross's Goose,Anser rossii
Tundra Bean-Goose,Anser serrirostris
Magpie Goose,Anseranas semipalmata
White-gorgeted Flycatcher,Anthipes monileger
Rufous-browed Flycatcher,Anthipes solitaris
Orange-breasted Sunbird,Anthobaphes violacea
Red Wattlebird,Anthochaera carunculata
Little Wattlebird,Anthochaera chrysoptera
Western Wattlebird,Anthochaera lunulata
Yellow Wattlebird,Anthochaera paradoxa
Regent Honeyeater,Anthochaera phrygia
New Zealand Bellbird,Anthornis melanura
Southern Penduline-Tit,Anthoscopus minutus
Mouse-colored Penduline-Tit,Anthoscopus musculus
Oriental Pied-Hornbill,Anthracoceros albirostris
Malabar Pied-Hornbill,Anthracoceros coronatus
Black Hornbill,Anthracoceros malayanus
Black-throated Mango,Anthracothorax nigricollis
Brown-throated Sunbird,Anthreptes malacensis
Eastern Violet-backed Sunbird,Anthreptes orientalis
Blue Crane,Anthropoides paradiseus
Demoiselle Crane,Anthropoides virgo
Berthelot's Pipit,Anthus berthelotii
Paramo Pipit,Anthus bogotensis
Tawny Pipit,Anthus campestris
Red-throated Pipit,Anthus cervinus
Pampas Pipit,Anthus chacoensis
African Pipit,Anthus cinnamomeus
Correndera Pipit,Anthus correndera
Yellow-tufted Pipit,Anthus crenatus
Short-billed Pipit,Anthus furcatus
Blyth's Pipit,Anthus godlewskii
Pechora Pipit,Anthus gustavi
Hellmayr's Pipit,Anthus hellmayri
Olive-backed Pipit,Anthus hodgsoni
Plain-backed Pipit,Anthus leucophrys
Striped Pipit,Anthus lineiventris
Yellowish Pipit,Anthus lutescens
Ochre-breasted Pipit,Anthus nattereri
Australasian Pipit,Anthus novaeseelandiae
Peruvian Pipit,Anthus peruvianus
Rock Pipit,Anthus petrosus
Meadow Pipit,Anthus pratensis
Richard's Pipit,Anthus richardi
Rosy Pipit,Anthus roseatus
American Pipit,Anthus rubescens
Paddyfield Pipit,Anthus rufulus
Long-billed Pipit,Anthus similis
Water Pipit,Anthus spinoletta
Sprague's Pipit,Anthus spragueii
Upland Pipit,Anthus sylvanus
Tree Pipit,Anthus trivialis
Sarus Crane,Antigone antigone
Sandhill Crane,Antigone canadensis
Brolga,Antigone rubicunda
White-naped Crane,Antigone vipio
Araripe Manakin,Antilophia bokermanni
Helmeted Manakin,Antilophia galeata
Mexican Whip-poor-will,Antrostomus arizonae
Yucatan Nightjar,Antrostomus badius
Chuck-will's-widow,Antrostomus carolinensis
Puerto Rican Nightjar,Antrostomus noctitherus
Buff-collared Nightjar,Antrostomus ridgwayi
Rufous Nightjar,Antrostomus rufus
Tawny-collared Nightjar,Antrostomus salvini
Dusky Nightjar,Antrostomus saturatus
Silky-tailed Nightjar,Antrostomus sericocaudatus
Eastern Whip-poor-will,Antrostomus vociferus
Firewood-gatherer,Anumbius annumbi
Chestnut-headed Crake,Anurolimnas castaneiceps
Black-banded Crake,Anurolimnas fasciatus
Russet-crowned Crake,Anurolimnas viridis
Brown-headed Apalis,Apalis alticola
Chapin's Apalis,Apalis chapini
Gray Apalis,Apalis cinerea
Yellow-breasted Apalis,Apalis flavida
Black-throated Apalis,Apalis jacksoni
Black-headed Apalis,Apalis melanocephala
Black-faced Apalis,Apalis personata
Chestnut-throated Apalis,Apalis porphyrolaema
Rudd's Apalis,Apalis ruddi
Buff-throated Apalis,Apalis rufogularis
Sharpe's Apalis,Apalis sharpii
Bar-throated Apalis,Apalis thoracica
Narina Trogon,Apaloderma narina
Bar-tailed Trogon,Apaloderma vittatum
Black-billed Flycatcher,Aphanotriccus audax
Tawny-chested Flycatcher,Aphanotriccus capitalis
Southern Whiteface,Aphelocephala leucopsis
California Scrub-Jay,Aphelocoma californica
Florida Scrub-Jay,Aphelocoma coerulescens
Transvolcanic Jay,Aphelocoma ultramarina
Unicolored Jay,Aphelocoma unicolor
Mexican Jay,Aphelocoma wollweberi
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
Thorn-tailed Rayadito,Aphrastura spinicauda
Honey Bee,Apis mellifera
Samoan Starling,Aplonis atrifusca
Brown-winged Starling,Aplonis grandis
Metallic Starling,Aplonis metallica
Moluccan Starling,Aplonis mysolensis
Micronesian Starling,Aplonis opaca
Asian Glossy Starling,Aplonis panayensis
Polynesian Starling,Aplonis tabuensis
Red-winged Parrot,Aprosmictus erythropterus
King Penguin,Aptenodytes patagonicus
North Island Brown Kiwi,Apteryx mantelli
Little Swift,Apus affinis
Common Swift,Apus apus
White-rumped Swift,Apus caffer
Alpine Swift,Apus melba
House Swift,Apus nipalensis
Pacific Swift,Apus pacificus
Pallid Swift,Apus pallidus
Plain Swift,Apus unicolor
Spanish Eagle,Aquila adalberti
Golden Eagle,Aquila chrysaetos
Imperial Eagle,Aquila heliaca
Steppe Eagle,Aquila nipalensis
Great Green Macaw,Ara ambiguus
Blue-and-yellow Macaw,Ara ararauna
Red-and-green Macaw,Ara chloropterus
Blue-throated Macaw,Ara glaucogularis
Scarlet Macaw,Ara macao
Military Macaw,Ara militaris
Chestnut-fronted Macaw,Ara severus
Yellow-eared Spiderhunter,Arachnothera chrysogenys
Thick-billed Spiderhunter,Arachnothera crassirostris
Spectacled Spiderhunter,Arachnothera flavigaster
Little Spiderhunter,Arachnothera longirostra
Streaked Spiderhunter,Arachnothera magna
Russet-naped Wood-Rail,Aramides albiventris
Rufous-necked Wood-Rail,Aramides axillaris
Gray-cowled Wood-Rail,Aramides cajaneus
Slaty-breasted Wood-Rail,Aramides saracura
Brown Wood-Rail,Aramides wolfi
Giant Wood-Rail,Aramides ypecaha
Limpkin,Aramus guarauna
Golden-capped Parakeet,Aratinga auricapillus
Jandaya Parakeet,Aratinga jandaya
Nanday Parakeet,Aratinga nenday
Dusky-headed Parakeet,Aratinga weddellii
White-cheeked Partridge,Arborophila atrogularis
Bar-backed Partridge,Arborophila brunneopectus
Taiwan Partridge,Arborophila crudigularis
Red-breasted Partridge,Arborophila hyperythra
Chestnut-bellied Partridge,Arborophila javanica
Chestnut-breasted Partridge,Arborophila mandellii
Rufous-throated Partridge,Arborophila rufogularis
Hill Partridge,Arborophila torqueola
Black-chinned Hummingbird,Archilochus alexandri
Ruby-throated Hummingbird,Archilochus colubris
Great Egret,Ardea alba
Gray Heron,Ardea cinerea
Cocoi Heron,Ardea cocoi
Great Blue Heron,Ardea herodias
Intermediate Egret,Ardea intermedia
Black-headed Heron,Ardea melanocephala
Purple Heron,Ardea purpurea
Great-billed Heron,Ardea sumatrana
Buller's Shearwater,Ardenna bulleri
Flesh-footed Shearwater,Ardenna carneipes
Pink-footed Shearwater,Ardenna creatopus
Sooty Shearwater,Ardenna grisea
Wedge-tailed Shearwater,Ardenna pacifica
Short-tailed Shearwater,Ardenna tenuirostris
Chinese Pond-Heron,Ardeola bacchus
Indian Pond-Heron,Ardeola grayii
Squacco Heron,Ardeola ralloides
Javan Pond-Heron,Ardeola speciosa
Ruddy Turnstone,Arenaria interpres
Black Turnstone,Arenaria melanocephala
Great Argus,Argusianus argus
Yellow-billed Babbler,Argya affinis
Common Babbler,Argya caudata
Striated Babbler,Argya earlei
Large Gray Babbler,Argya malcolmi
Jungle Babbler,Argya striata
Rufous Babbler,Argya subrufa
Shelley's Greenbul,Arizelocichla masukuensis
Stripe-cheeked Greenbul,Arizelocichla milanjensis
Eastern Mountain Greenbul,Arizelocichla nigriceps
Black-capped Sparrow,Arremon abeillei
Gray-browed Brushfinch,Arremon assimilis
Black-headed Brushfinch,Arremon atricapillus
Orange-billed Sparrow,Arremon aurantiirostris
Sierra Nevada Brushfinch,Arremon basilicus
Chestnut-capped Brushfinch,Arremon brunneinucha
Olive Finch,Arremon castaneiceps
Costa Rican Brushfinch,Arremon costaricensis
Sooty-faced Finch,Arremon crassirostris
Saffron-billed Sparrow,Arremon flavirostris
Sao Francisco Sparrow,Arremon franciscanus
Perija Brushfinch,Arremon perijanus
Golden-winged Sparrow,Arremon schlegeli
Half-collared Sparrow,Arremon semitorquatus
Pectoral Sparrow,Arremon taciturnus
White-browed Brushfinch,Arremon torquatus
Green-striped Brushfinch,Arremon virenticeps
Green-backed Sparrow,Arremonops chloronotus
Black-striped Sparrow,Arremonops conirostris
Olive Sparrow,Arremonops rufivirgatus
Tocuyo Sparrow,Arremonops tocuyensis
Frilled Monarch,Arses telescopthalmus
Black-faced Woodswallow,Artamus cinereus
Dusky Woodswallow,Artamus cyanopterus
Ashy Woodswallow,Artamus fuscus
White-breasted Woodswallow,Artamus leucorynchus
Masked Woodswallow,Artamus personatus
White-browed Woodswallow,Artamus superciliosus
Bell's Sparrow,Artemisiospiza belli
Sagebrush Sparrow,Artemisiospiza nevadensis
African Tailorbird,Artisornis metopias
Long-billed Tailorbird,Artisornis moreaui
Thick-billed Warbler,Arundinax aedon
White-headed Marsh Tyrant,Arundinicola leucocephala
Sooty Grassquit,Asemospiza fuliginosa
Dull-colored Grassquit,Asemospiza obscura
Striped Owl,Asio clamator
Short-eared Owl,Asio flammeus
Jamaican Owl,Asio grammicus
Long-eared Owl,Asio otus
Stygian Owl,Asio stygius
Blue-throated Motmot,Aspatha gularis
Austral Canastero,Asthenes anthoides
Short-billed Canastero,Asthenes baeri
Ochre-browed Thistletail,Asthenes coryi
Creamy-breasted Canastero,Asthenes dorbignyi
Many-striped Canastero,Asthenes flammulata
White-chinned Thistletail,Asthenes fuliginosa
Mouse-colored Thistletail,Asthenes griseomurina
Black-throated Thistletail,Asthenes harterti
Puna Thistletail,Asthenes helleri
Maquis Canastero,Asthenes heterura
Hudson's Canastero,Asthenes hudsoni
Streak-throated Canastero,Asthenes humilis
Scribble-tailed Canastero,Asthenes maculicauda
Cordilleran Canastero,Asthenes modesta
Itatiaia Spinetail,Asthenes moreirae
Rusty-fronted Canastero,Asthenes ottonis
Eye-ringed Thistletail,Asthenes palpebralis
Perija Thistletail,Asthenes perijana
Canyon Canastero,Asthenes pudibunda
Sharp-billed Canastero,Asthenes pyrrholeuca
Puna Canastero,Asthenes sclateri
Line-fronted Canastero,Asthenes urubambensis
Junin Canastero,Asthenes virgata
Streak-backed Canastero,Asthenes wyatti
Pale-eyed Pygmy-Tyrant,Atalotriccus pilaris
Rufous-headed Ground-Roller,Atelornis crossleyi
Pitta-like Ground-Roller,Atelornis pittoides
Forest Owlet,Athene blewitti
Spotted Owlet,Athene brama
Burrowing Owl,Athene cunicularia
Little Owl,Athene noctua
White-browed Owl,Athene superciliaris
Yellow-throated Greenbul,Atimastillas flavicollis
Protean Shieldback,Atlanticus testaceus
White-naped Brushfinch,Atlapetes albinucha
Moustached Brushfinch,Atlapetes albofrenatus
Yellow-striped Brushfinch,Atlapetes citrinellus
Yellow-headed Brushfinch,Atlapetes flaviceps
Fulvous-headed Brushfinch,Atlapetes fulviceps
Dusky-headed Brushfinch,Atlapetes fuscoolivaceus
Yellow-breasted Brushfinch,Atlapetes latinuchus
White-rimmed Brushfinch,Atlapetes leucopis
White-winged Brushfinch,Atlapetes leucopterus
Santa Marta Brushfinch,Atlapetes melanocephalus
Black-faced Brushfinch,Atlapetes melanolaemus
Pale-headed Brushfinch,Atlapetes pallidiceps
Pale-naped Brushfinch,Atlapetes pallidinucha
Tepui Brushfinch,Atlapetes personatus
Rufous-capped Brushfinch,Atlapetes pileatus
Rufous-eared Brushfinch,Atlapetes rufigenis
Bolivian Brushfinch,Atlapetes rufinucha
Slaty Brushfinch,Atlapetes schistaceus
Ochre-breasted Brushfinch,Atlapetes semirufus
Yellow-thighed Brushfinch,Atlapetes tibialis
Tricolored Brushfinch,Atlapetes tricolor
Noisy Scrub-bird,Atrichornis clamosus
Rufous Scrub-bird,Atrichornis rufescens
Rufous-bellied Seedsnipe,Attagis gayi
White-banded Swallow,Atticora fasciata
Black-capped Swallow,Atticora pileata
White-thighed Swallow,Atticora tibialis
Dull-capped Attila,Attila bolivianus
Cinnamon Attila,Attila cinnamomeus
Citron-bellied Attila,Attila citriniventris
Rufous-tailed Attila,Attila phoenicurus
Gray-hooded Attila,Attila rufus
Bright-rumped Attila,Attila spadiceus
Ochraceous Attila,Attila torridus
Hooded Visorbearer,Augastes lumachella
Hyacinth Visorbearer,Augastes scutatus
Southern Emerald-Toucanet,Aulacorhynchus albivitta
Blue-banded Toucanet,Aulacorhynchus coeruleicinctis
Chestnut-tipped Toucanet,Aulacorhynchus derbianus
Crimson-rumped Toucanet,Aulacorhynchus haematopygus
Northern Emerald-Toucanet,Aulacorhynchus prasinus
Groove-billed Toucanet,Aulacorhynchus sulcatus
Verdin,Auriparus flaviceps
Chiriqui Foliage-gleaner,Automolus exsertus
Olive-backed Foliage-gleaner,Automolus infuscatus
White-eyed Foliage-gleaner,Automolus leucophthalmus
Brown-rumped Foliage-gleaner,Automolus melanopezus
Buff-throated Foliage-gleaner,Automolus ochrolaemus
Para Foliage-gleaner,Automolus paraensis
Chestnut-crowned Foliage-gleaner,Automolus rufipileatus
Striped Woodhaunter,Automolus subulatus
Jerdon's Baza,Aviceda jerdoni
Black Baza,Aviceda leuphotes
Pacific Baza,Aviceda subcristata
Lesser Scaup,Aythya affinis
Redhead,Aythya americana
Ring-necked Duck,Aythya collaris
Common Pochard,Aythya ferina
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Ferruginous Duck,Aythya nyroca
Canvasback,Aythya valisineria
Black-crested Titmouse,Baeolophus atricristatus
Tufted Titmouse,Baeolophus bicolor
Oak Titmouse,Baeolophus inornatus
Juniper Titmouse,Baeolophus ridgwayi
Bridled Titmouse,Baeolophus wollweberi
Honeyguide Greenbul,Baeopogon indicator
Gray Crowned-Crane,Balearica regulorum
Mountain Bamboo-Partridge,Bambusicola fytchii
Taiwan Bamboo-Partridge,Bambusicola sonorivox
Chinese Bamboo-Partridge,Bambusicola thoracicus
Gold-ringed Tanager,Bangsia aureocincta
Moss-backed Tanager,Bangsia edwardsi
Black-and-gold Tanager,Bangsia melanochlamys
Australian Ringneck,Barnardius zonarius
Upland Sandpiper,Bartramia longicauda
Rufous Motmot,Baryphthengus martii
Rufous-capped Motmot,Baryphthengus ruficapillus
Golden-browed Warbler,Basileuterus belli
Golden-crowned Warbler,Basileuterus culicivorus
Chestnut-capped Warbler,Basileuterus delattrii
Fan-tailed Warbler,Basileuterus lachrymosus
